model,layer,domain,condition,participation_ratio,num_concepts,feature_dim,concept_subset
Qwen/Qwen3.5-9B,0,sensory,T_prompt_para_2,728.1104213363617,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,1,sensory,T_prompt_para_2,112.898722453696,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,2,sensory,T_prompt_para_2,154.1760995316689,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,3,sensory,T_prompt_para_2,163.26297574704725,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,4,sensory,T_prompt_para_2,296.01098152107915,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,5,sensory,T_prompt_para_2,244.65212569347202,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,6,sensory,T_prompt_para_2,214.96280992482446,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,7,sensory,T_prompt_para_2,168.75166943146098,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,8,sensory,T_prompt_para_2,157.40019193814942,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,9,sensory,T_prompt_para_2,140.152059613791,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,10,sensory,T_prompt_para_2,127.08093002473008,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,11,sensory,T_prompt_para_2,102.93195302236248,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,12,sensory,T_prompt_para_2,96.49080844674575,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,13,sensory,T_prompt_para_2,79.40701139692729,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,14,sensory,T_prompt_para_2,73.67812144797277,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,15,sensory,T_prompt_para_2,66.77688217360513,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,16,sensory,T_prompt_para_2,64.17986878800681,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,17,sensory,T_prompt_para_2,64.61931162455228,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,18,sensory,T_prompt_para_2,60.64861589333671,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,19,sensory,T_prompt_para_2,69.47208499937041,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,20,sensory,T_prompt_para_2,82.5226879402377,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,21,sensory,T_prompt_para_2,92.92957239818924,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,22,sensory,T_prompt_para_2,107.5847119027056,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,23,sensory,T_prompt_para_2,135.22985627591885,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,24,sensory,T_prompt_para_2,156.49192089465552,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,25,sensory,T_prompt_para_2,158.49806749516324,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,26,sensory,T_prompt_para_2,163.05101675649325,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,27,sensory,T_prompt_para_2,161.57703441723015,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,28,sensory,T_prompt_para_2,166.57554434178542,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,29,sensory,T_prompt_para_2,158.18208901181208,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,30,sensory,T_prompt_para_2,154.9614530080762,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,31,sensory,T_prompt_para_2,138.46047381670695,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,32,sensory,T_prompt_para_2,68.41495568872513,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,0,sensory,M_text_only,686.9592695519443,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,1,sensory,M_text_only,152.84823762253157,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,2,sensory,M_text_only,229.65101037408672,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,3,sensory,M_text_only,231.92760786391742,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,4,sensory,M_text_only,302.6352313310278,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,5,sensory,M_text_only,309.9403628796694,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,6,sensory,M_text_only,258.67016564194427,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,7,sensory,M_text_only,232.80228222406606,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,8,sensory,M_text_only,235.403088303564,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,9,sensory,M_text_only,226.72895129591114,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,10,sensory,M_text_only,209.51973342369038,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,11,sensory,M_text_only,184.2461606859098,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,12,sensory,M_text_only,162.01054027938866,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,13,sensory,M_text_only,145.92397276525642,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,14,sensory,M_text_only,129.2233539216209,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,15,sensory,M_text_only,117.20513470804968,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,16,sensory,M_text_only,107.87927674816403,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,17,sensory,M_text_only,102.44676921264033,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,18,sensory,M_text_only,98.21501334545191,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,19,sensory,M_text_only,94.90406871803918,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,20,sensory,M_text_only,85.7606406997635,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,21,sensory,M_text_only,85.62775492472399,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,22,sensory,M_text_only,85.81612663706275,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,23,sensory,M_text_only,87.73619692600236,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,24,sensory,M_text_only,97.45988156803745,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,25,sensory,M_text_only,122.09005242849929,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,26,sensory,M_text_only,141.11620587973763,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,27,sensory,M_text_only,160.79688906242055,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3-VL-8B-Instruct,28,sensory,M_text_only,174.06103073658875,1854,4096,data/concepts/things_max_1854_concepts.csv
