anchor_name,condition,layer,summary_type,rsa_score,value
THINGS behavioral similarity,M_text_only,34,trajectory,0.13192594680088499,
controlled_THINGS,M_text_only,34,trajectory,0.1276643948184569,
SigLIP2,M_text_only,34,trajectory,0.0832106603844703,
lancaster_perceptual,M_text_only,34,trajectory,0.13197020999435494,
THINGS behavioral similarity,M_text_only,35,trajectory,0.12387889878444033,
controlled_THINGS,M_text_only,35,trajectory,0.12012262162665026,
SigLIP2,M_text_only,35,trajectory,0.08575760338265472,
lancaster_perceptual,M_text_only,35,trajectory,0.11171172402580991,
THINGS behavioral similarity,M_text_only,36,trajectory,0.11115976485273242,
controlled_THINGS,M_text_only,36,trajectory,0.09915451906494423,
SigLIP2,M_text_only,36,trajectory,0.0895674258145492,
lancaster_perceptual,M_text_only,36,trajectory,0.12702059139993985,
THINGS behavioral similarity,M_matched_image,0,trajectory,0.09241568404035716,
controlled_THINGS,M_matched_image,0,trajectory,0.08831683933466064,
SigLIP2,M_matched_image,0,trajectory,0.07302365242467256,
